2026-03-30 00:22:15,781 | INFO | Starting .fit method
2026-03-30 00:34:52,580 | INFO | Starting .fit method
2026-03-30 00:40:14,485 | INFO | Starting .fit method
2026-03-30 00:40:14,487 | INFO | Starting fit.epoch
2026-03-30 00:43:31,234 | INFO | Starting .fit method
2026-03-30 00:43:31,237 | INFO | Starting fit.epoch
2026-03-30 00:43:33,707 | INFO | Updated scheduler for learning rate
2026-03-30 00:43:33,710 | INFO | Starting fit.epoch
2026-03-30 00:43:33,760 | INFO | Updated scheduler for learning rate
2026-03-30 00:43:33,760 | INFO | Starting fit.epoch
2026-03-30 00:46:00,542 | INFO | Starting .fit method
2026-03-30 00:46:00,545 | INFO | Starting fit.epoch
2026-03-30 00:46:00,611 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 00:46:00,611 | INFO | Starting fit.epoch
2026-03-30 00:46:00,663 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 00:46:00,666 | INFO | Starting fit.epoch
2026-03-30 00:48:47,167 | INFO | Starting .fit method
2026-03-30 00:48:47,169 | INFO | Starting fit.epoch
2026-03-30 00:48:47,223 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 00:48:47,224 | INFO | Starting fit.epoch
2026-03-30 00:48:47,271 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 00:48:47,273 | INFO | Starting fit.epoch
2026-03-30 00:52:53,204 | INFO | Starting .fit method
2026-03-30 00:52:53,208 | INFO | Starting fit.epoch
2026-03-30 00:52:53,264 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 00:52:53,265 | INFO | Starting fit.epoch
2026-03-30 00:52:53,320 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 00:52:53,322 | INFO | Starting fit.epoch
2026-03-30 01:00:28,582 | INFO | Starting .fit method
2026-03-30 01:00:28,585 | INFO | Starting fit.epoch
2026-03-30 01:00:28,636 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:00:28,637 | INFO | Starting fit.epoch
2026-03-30 01:00:28,691 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:00:28,693 | INFO | Starting fit.epoch
2026-03-30 01:12:02,528 | INFO | Starting .fit method
2026-03-30 01:12:03,487 | INFO | Starting fit.epoch
2026-03-30 01:12:05,766 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:12:05,768 | INFO | Starting fit.epoch
2026-03-30 01:12:05,810 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:12:05,810 | INFO | Starting fit.epoch
2026-03-30 01:18:10,932 | INFO | Starting .fit method
2026-03-30 01:18:10,934 | INFO | Starting fit.epoch
2026-03-30 01:18:10,969 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:18:10,970 | INFO | Starting fit.epoch
2026-03-30 01:18:11,005 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:18:11,005 | INFO | Starting fit.epoch
2026-03-30 01:22:32,860 | INFO | Starting .fit method
2026-03-30 01:22:32,863 | INFO | Starting fit.epoch
2026-03-30 01:22:32,900 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:22:32,900 | INFO | Starting fit.epoch
2026-03-30 01:22:32,937 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:22:32,937 | INFO | Starting fit.epoch
2026-03-30 01:24:16,918 | INFO | Starting .fit method
2026-03-30 01:24:16,920 | INFO | Starting fit.epoch
2026-03-30 01:24:16,950 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:24:16,950 | INFO | Starting fit.epoch
2026-03-30 01:24:16,986 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:24:16,986 | INFO | Starting fit.epoch
2026-03-30 01:25:46,522 | INFO | Starting .fit method
2026-03-30 01:25:46,524 | INFO | Starting fit.epoch
2026-03-30 01:25:46,621 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:25:46,621 | INFO | Starting fit.epoch
2026-03-30 01:25:46,714 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:25:46,716 | INFO | Starting fit.epoch
2026-03-30 01:28:39,032 | INFO | Starting .fit method
2026-03-30 01:28:39,036 | INFO | Starting fit.epoch
2026-03-30 01:28:39,178 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:28:39,180 | INFO | Starting fit.epoch
2026-03-30 01:28:39,318 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:28:39,320 | INFO | Starting fit.epoch
2026-03-30 01:28:39,421 | INFO | Updated scheduler for learning rate, epoch 2, lr=0.001
2026-03-30 01:28:39,423 | INFO | Starting fit.epoch
2026-03-30 01:28:39,530 | INFO | Updated scheduler for learning rate, epoch 3, lr=0.001
2026-03-30 01:28:39,532 | INFO | Starting fit.epoch
2026-03-30 01:28:39,624 | INFO | Updated scheduler for learning rate, epoch 4, lr=0.001
2026-03-30 01:28:39,624 | INFO | Starting fit.epoch
2026-03-30 01:33:59,463 | INFO | Starting .fit method
2026-03-30 01:33:59,465 | INFO | Starting fit.epoch
2026-03-30 01:33:59,590 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:33:59,591 | INFO | Starting fit.epoch
2026-03-30 01:33:59,689 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:33:59,689 | INFO | Starting fit.epoch
2026-03-30 01:33:59,761 | INFO | Updated scheduler for learning rate, epoch 2, lr=0.001
2026-03-30 01:33:59,762 | INFO | Starting fit.epoch
2026-03-30 01:33:59,850 | INFO | Updated scheduler for learning rate, epoch 3, lr=0.001
2026-03-30 01:33:59,850 | INFO | Starting fit.epoch
2026-03-30 01:33:59,960 | INFO | Updated scheduler for learning rate, epoch 4, lr=0.001
2026-03-30 01:33:59,962 | INFO | Starting fit.epoch
2026-03-30 01:34:22,361 | INFO | Starting .fit method
2026-03-30 01:34:22,363 | INFO | Starting fit.epoch
2026-03-30 01:34:22,464 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:34:22,466 | INFO | Starting fit.epoch
2026-03-30 01:34:22,584 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:34:22,586 | INFO | Starting fit.epoch
2026-03-30 01:34:22,719 | INFO | Updated scheduler for learning rate, epoch 2, lr=0.001
