sex,race,juv_fel_count,priors_count,juv_other_count,juv_misd_count,c_charge_degree,age,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider,idx
-0.76459223,-5.326995,-0.67194384,-0.9220502,-0.8432399,-1.0116943,-4.6200476,-2.922037,1,0,1,0.5911428061675372,1,H,0
-0.7647082,-4.324408,-0.67164755,-0.80752033,-0.8428394,-1.0111365,-1.2304038,-2.916845,1,0,1,0.671842278569041,1,H,1
-0.76482403,-4.308498,-0.6713514,-0.9595327,8.148232,-1.0105795,-2.3572667,-3.0713556,1,1,1,0.6428172186502648,1,H,2
-0.7649395,-3.3208852,-0.6710556,-0.616486,-0.83609563,-1.0100231,-4.5943294,-2.954441,0,0,0,0.5329658654451133,0,H,3
-0.7650548,-6.207613,-0.67076,-0.9590961,-0.8357012,-1.0094674,-3.461526,-2.990621,0,0,1,0.5332207366874153,0,H,4
-6.9945307,-4.2504973,-0.67046475,-0.95869446,-0.8353072,-1.0089123,-3.452932,-2.839858,1,0,1,0.648421972300559,1,H,5
-0.7542913,-7.078385,-0.67016965,-0.9202211,-0.8349136,-1.008358,-3.4444005,-3.035322,0,1,0,0.5280610112313495,0,H,6
-6.9263806,-4.192235,-0.66987485,-0.76749766,-0.83452034,-1.0078043,-2.3240488,-3.036382,0,0,0,0.5244869968825775,0,H,7
-0.74380887,-4.1777186,-0.6695804,-0.9577812,-0.83412755,-1.0072514,-1.207602,-3.0030396,0,0,1,0.5550902381334939,0,H,8
-0.74392915,-3.2194886,-0.66928613,-0.8430809,-0.8337351,-1.0066991,-3.4323246,-2.9905386,0,0,0,0.6736647647907813,0,H,9
-6.861799,-5.0932026,-0.6689921,-0.88091815,-0.83334315,-1.0061475,-3.4239469,-2.779131,1,0,1,0.6141665427831957,1,H,10
-0.73371315,-3.1956954,-0.6686984,0.14424914,-0.8329516,-1.0055966,-2.3089528,-2.959695,1,0,1,0.6276860572379811,1,H,11
-0.7338357,-5.0578046,-0.6684049,-0.95670193,-0.8325605,-1.0050464,-3.4123342,-2.8311293,0,0,0,0.6459638863552759,0,H,12
-6.799042,-4.1044807,-0.6681117,-0.95630354,-0.8321697,-1.0044968,-1.1936536,-2.7922578,0,0,0,0.5977100628442644,0,H,13
-0.72387415,-3.1612816,-0.66781867,-0.91796756,-0.83177936,-1.0039479,-2.3002894,-3.0060852,1,0,1,0.7009909720420925,1,H,14
-0.7239987,-5.9248533,-0.667526,-0.87966496,-0.83138937,-1.0033997,-3.4006307,-2.9731903,0,0,0,0.682322508740517,0,H,15
-0.72412306,-4.9715476,-0.6672336,-0.95526654,2.1695054,-1.0028521,-2.291569,-2.9813159,0,0,0,0.5442390996488577,1,H,16
-0.7242472,-3.1164973,-0.6669414,-0.84098047,-0.8321893,-1.0023053,-5.569962,-2.9486427,1,0,1,0.7119031463416001,1,H,17
-0.7243711,-3.1105664,-0.66664946,-0.8786826,-0.83179945,-1.001759,-5.531643,-2.9772043,1,0,1,0.6433962047666475,1,H,18
-0.72449476,-4.01933,-0.6663578,-0.91635454,-0.83141,-1.0012136,-2.2582638,-2.8294876,1,0,1,0.641224746768938,1,H,19
-0.7246182,-4.914881,-0.66606647,-0.8400226,-0.8310211,-1.0006686,-1.1691132,-2.9194963,1,0,1,0.5787822380028832,1,H,20
