c_charge_degree,priors_count,juv_fel_count,race,age,juv_other_count,sex,juv_misd_count,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.4,0.0,0.0,0.8,0.025974025974025976,0.0,0.0,0.08333333333333333,1,1,1,0.6435071482299801,1,H
0.4,0.27586206896551724,0.0,1.0,0.19480519480519481,0.0,1.0,0.0,0,0,1,0.899508412289053,0,H
0.6,0.20689655172413793,0.0,1.0,0.5064935064935064,0.0,1.0,0.0,1,0,0,0.9393615714669921,0,M
0.6,0.20689655172413793,0.0,1.0,0.22077922077922077,0.0,1.0,0.0,0,0,0,0.9275655061378937,0,H
0.6,0.06896551724137931,0.0,0.4,0.2077922077922078,0.0,1.0,0.0,0,0,0,0.9052254481967109,0,H
0.4,0.20689655172413793,0.0,1.0,0.18181818181818182,0.0,1.0,0.0,0,0,0,0.9453760784865692,0,H
0.4,0.0,0.0,0.8,0.09090909090909091,0.0,1.0,0.0,1,0,0,0.9285122464785118,0,M
0.6,0.0,0.0,0.6,0.1038961038961039,0.0,1.0,0.0,0,0,1,0.8702878146883991,0,H
0.8,0.034482758620689655,0.0,1.0,0.16883116883116883,0.0,1.0,0.0,0,0,0,0.9241007383946566,0,H
0.6,0.27586206896551724,0.0,1.0,0.2077922077922078,0.0,1.0,0.08333333333333333,1,1,1,0.8913581959049606,1,H
0.4,0.0,0.0,1.0,0.5194805194805194,0.0,1.0,0.0,1,0,0,0.9286550007893919,0,M
0.4,0.1724137931034483,0.0,0.6,0.2857142857142857,0.0,1.0,0.0,1,0,0,0.9537459819388471,0,M
0.6,0.0,0.0,0.6,0.19480519480519481,0.0,1.0,0.0,0,0,0,0.9022545261209312,0,H
0.6,0.20689655172413793,0.0,1.0,0.45454545454545453,0.0,1.0,0.0,0,0,0,0.9452410873558171,0,H
0.6,0.13793103448275862,0.0,1.0,0.11688311688311688,0.0,0.0,0.0,0,0,1,0.9146043663207163,0,H
0.4,0.1724137931034483,0.0,1.0,0.24675324675324675,0.0,1.0,0.0,0,0,0,0.9467201640582569,0,H
0.6,0.0,0.0,0.6,0.2077922077922078,0.0,1.0,0.0,1,0,1,0.9125497129349913,1,H
0.6,0.2413793103448276,0.0,1.0,0.2987012987012987,0.0,1.0,0.0,1,0,1,0.9162559165017263,0,M
0.6,0.1724137931034483,0.0,1.0,0.2727272727272727,0.0,1.0,0.0,1,0,0,0.9341511090566512,0,M
0.6,0.10344827586206896,0.0,1.0,0.3116883116883117,0.0,1.0,0.0,0,0,0,0.926940766248514,0,H
0.6,0.06896551724137931,0.0,0.8,0.2597402597402597,0.0,0.0,0.0,0,0,1,0.9201007774837161,0,H
0.6,0.13793103448275862,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0,0,0,0.9307849676442067,0,H
0.6,0.2413793103448276,0.0,1.0,0.15584415584415584,0.0,1.0,0.0,0,0,0,0.9133822212737973,0,H
0.4,0.06896551724137931,0.0,1.0,0.37662337662337664,0.0,1.0,0.0,0,0,0,0.931367213329486,0,H
0.6,0.7241379310344828,0.0,0.8,0.33766233766233766,0.0,1.0,0.0,1,0,1,0.9061762950232825,1,H
0.4,0.13793103448275862,0.0,1.0,0.5194805194805194,0.0,1.0,0.0,1,0,0,0.8787985292401354,0,M
0.4,0.0,0.0,0.4,0.025974025974025976,0.0,1.0,0.0,0,0,0,0.8853777641467206,0,H
0.6,0.034482758620689655,0.0,0.8,0.15584415584415584,0.0,1.0,0.0,1,0,1,0.9325121522937988,1,H
