sex,prev_residence_place,cur_eco_activity,marital_status,edu_level,economic_status,country_birth,household_size,citizenship,age,household_position,expert prediction,machine prediction,ground truth,proba_model,occupation,provider
0.0,1.0,0.7857142857142857,0.3333333333333333,0.6,0.0,0.0,0.1333333333333333,0.0,0.3636363636363636,0.109090909090909,0,0,0,0.5246122817385629,0,H
1.0,1.0,0.9642857142857144,1.0,0.0,0.0,1.0,0.2,0.0,0.3636363636363636,1.0,1,0,0,0.7594248688661533,0,M
0.0,1.0,0.7142857142857143,0.3333333333333333,0.6,0.0,0.0,0.1333333333333333,0.0,0.7272727272727273,0.109090909090909,0,0,1,0.5968291745629081,0,H
0.0,1.0,0.4642857142857143,0.0,0.6,0.1111111111111111,0.0,1.0,0.0,0.0909090909090909,0.0,0,0,0,0.6726350036647408,0,H
1.0,1.0,0.3928571428571428,1.0,0.6,0.0,0.0,0.0,0.0,0.4545454545454545,0.9090909090909092,0,0,0,0.5713006267144283,0,H
1.0,1.0,0.9642857142857144,0.3333333333333333,0.4,0.0,0.0,1.0,0.0,0.2727272727272727,0.109090909090909,0,0,0,0.620975219895739,0,H
1.0,1.0,0.9642857142857144,0.3333333333333333,0.4,0.0,0.0,0.2,0.0,0.0909090909090909,0.109090909090909,1,0,0,0.7004885308485514,0,M
0.0,1.0,0.9285714285714286,0.3333333333333333,0.4,0.0,0.0,0.1333333333333333,0.0,0.4545454545454545,0.109090909090909,1,0,0,0.6840971937006103,0,M
1.0,1.0,0.7142857142857143,1.0,1.0,0.0,0.0,0.2,0.0,0.3636363636363636,0.2727272727272727,0,1,0,0.5977406795729172,1,M
1.0,1.0,0.8571428571428571,0.3333333333333333,0.4,1.0,0.0,0.1333333333333333,0.0,0.2727272727272727,0.109090909090909,0,1,0,0.546040367073115,1,H
0.0,1.0,0.9642857142857144,0.0,0.6,0.1111111111111111,0.0,0.1333333333333333,0.0,0.0,0.0,1,0,0,0.7274150493942912,0,M
1.0,1.0,0.8214285714285714,0.3333333333333333,0.4,1.0,0.0,0.9333333333333332,0.0,0.3636363636363636,0.109090909090909,1,0,0,0.5071044060343558,1,H
0.0,1.0,0.7142857142857143,0.3333333333333333,0.6,1.0,0.5,0.9333333333333332,0.0,0.4545454545454545,0.109090909090909,1,1,1,0.6369105256182945,1,H
1.0,1.0,0.8928571428571429,0.3333333333333333,1.0,0.0,0.0,0.2,0.0,0.4545454545454545,0.109090909090909,0,1,0,0.5489049334754582,0,H
0.0,1.0,0.3928571428571428,0.0,0.6,0.0,0.0,0.9333333333333332,0.0,0.1818181818181818,0.2,0,1,1,0.5645195588210368,0,H
0.0,1.0,0.3928571428571428,0.0,0.4,0.0,0.0,0.9333333333333332,0.5,0.2727272727272727,1.0,0,1,0,0.5759474325732508,0,H
0.0,1.0,0.3928571428571428,0.3333333333333333,0.6,0.0,0.0,0.2,0.0,0.7272727272727273,1.0,0,0,0,0.5159846002138693,0,H
1.0,1.0,1.0,0.3333333333333333,0.6,1.0,0.0,0.2,0.0,0.6363636363636364,0.109090909090909,1,1,1,0.5858003090752619,1,H
1.0,1.0,0.9642857142857144,0.0,0.8,0.1111111111111111,0.0,1.0,0.0,0.0909090909090909,0.0,0,0,1,0.7380417007373453,0,H
1.0,1.0,0.75,0.0,0.6,1.0,0.0,0.0666666666666666,0.0,0.4545454545454545,0.1909090909090909,1,1,1,0.7256818072965574,1,H
0.0,1.0,0.75,0.0,0.2,0.1111111111111111,0.0,0.0666666666666666,0.0,0.0,0.0,0,0,0,0.8472655941142955,0,H
0.0,1.0,0.7142857142857143,0.0,0.0,0.1111111111111111,0.0,0.2,0.0,0.0,0.0,0,0,0,0.8532500120447819,0,H
1.0,1.0,0.9642857142857144,0.0,0.4,0.0,0.0,0.1333333333333333,0.0,0.1818181818181818,0.0,0,0,0,0.7557670128382592,0,H
0.0,1.0,0.8571428571428571,0.0,0.6,0.0,1.0,0.0,1.0,0.1818181818181818,0.9090909090909092,0,0,0,0.6830371648903998,0,H
1.0,1.0,0.7142857142857143,0.3333333333333333,0.8,0.0,0.0,1.0,0.0,0.4545454545454545,0.109090909090909,1,1,0,0.5754807469117478,1,H
1.0,1.0,0.7142857142857143,0.0,0.4,0.0,0.0,0.1333333333333333,0.0,0.3636363636363636,0.2,1,0,0,0.7574156417157242,0,M
0.0,2.0,0.3928571428571428,0.3333333333333333,0.6,0.0,0.0,0.1333333333333333,0.0,0.2727272727272727,0.109090909090909,1,1,1,0.5661630756036544,0,H
0.0,2.0,0.7142857142857143,0.3333333333333333,1.0,0.0,0.0,0.1333333333333333,0.0,0.5454545454545454,0.109090909090909,1,1,1,0.6189763992787161,1,H
1.0,1.0,0.9285714285714286,0.3333333333333333,0.6,1.0,0.0,0.2,0.0,0.5454545454545454,0.109090909090909,0,1,1,0.5867369198912613,1,H
1.0,1.0,0.9285714285714286,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.6363636363636364,0.9090909090909092,0,0,0,0.5759512738972945,0,H
0.0,1.0,0.7142857142857143,0.3333333333333333,0.6,1.0,0.0,0.0,0.0,0.7272727272727273,0.9090909090909092,0,1,0,0.6451327316737426,0,H
1.0,1.0,0.8928571428571429,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.109090909090909,0,1,0,0.6688165497562105,1,M
1.0,1.0,0.8928571428571429,0.3333333333333333,1.0,0.0,0.0,0.0666666666666666,0.0,0.7272727272727273,0.1,1,1,1,0.6087428710243078,1,H
1.0,1.0,0.7142857142857143,0.3333333333333333,0.4,0.0,0.0,0.1333333333333333,0.0,0.7272727272727273,0.109090909090909,1,0,1,0.6712206057967719,0,M
1.0,1.0,0.9642857142857144,0.3333333333333333,0.4,0.0,0.0,0.0666666666666666,0.0,0.6363636363636364,0.1,0,0,0,0.6868340944759166,0,H
1.0,1.0,0.9642857142857144,0.3333333333333333,0.6,1.0,0.0,1.0,0.0,0.5454545454545454,0.109090909090909,1,1,1,0.6261729384558858,1,H
0.0,1.0,0.3928571428571428,0.3333333333333333,0.2,0.0,0.0,0.9333333333333332,0.0,0.2727272727272727,0.109090909090909,1,1,1,0.552768425940062,0,H
1.0,2.0,0.8571428571428571,0.0,0.4,0.0,0.5,0.0666666666666666,0.5,0.2727272727272727,0.1909090909090909,1,0,0,0.7352482496767939,0,M
0.0,1.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0666666666666666,0.0,0.7272727272727273,0.1,1,1,0,0.5733805029707445,0,H
1.0,1.0,0.3928571428571428,0.0,0.6,0.0,0.0,0.0,0.0,0.7272727272727273,0.9090909090909092,1,1,0,0.5284200121231095,0,H
1.0,1.0,0.75,0.0,0.2,0.0,0.0,0.0666666666666666,0.0,0.2727272727272727,0.1909090909090909,0,0,0,0.7910177134482886,0,H
0.0,1.0,0.3928571428571428,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.5454545454545454,0.9090909090909092,0,0,0,0.680997397866003,0,H
1.0,2.0,0.9285714285714286,1.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.5454545454545454,0.2727272727272727,1,1,1,0.7530320538551593,1,H
0.0,1.0,0.9285714285714286,0.3333333333333333,0.6,0.0,0.0,0.2,0.0,0.7272727272727273,0.109090909090909,0,0,1,0.538947722034636,0,H
0.0,1.0,0.9285714285714286,0.0,1.0,0.0,0.0,0.1333333333333333,0.0,0.5454545454545454,0.2,0,1,1,0.6367505328432777,1,M
1.0,1.0,0.9642857142857144,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.1818181818181818,0.1909090909090909,1,1,1,0.5876249824919327,1,H
0.0,1.0,0.8928571428571429,0.0,0.6,0.0,1.0,0.1333333333333333,0.0,0.1818181818181818,1.0,0,0,0,0.7541941225741791,0,H
1.0,1.0,0.8928571428571429,1.0,0.6,0.0,0.0,0.1333333333333333,0.0,0.6363636363636364,0.2727272727272727,1,0,0,0.5937285160509892,0,H
