sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,proba_model,ground truth,expert prediction,machine prediction,occupation,provider
0,0.36363636363636365,0.10909090909090909,0.13333333333333333,2,0.0,0.0,0.4,0.0,0.7142857142857143,0.3333333333333333,0.6263592126165576,0,0,0,0,H
0,0.8181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.2,0.0,1.0,0.3333333333333333,0.6478878816921164,0,0,0,0,H
0,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.9642857142857143,0.3333333333333333,0.6304644509586076,1,1,0,0,H
0,0.2727272727272727,0.10909090909090909,0.2,1,0.0,1.0,0.4,0.0,0.7142857142857143,0.3333333333333333,0.705091392387253,0,0,0,0,H
0,0.5454545454545454,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.39285714285714285,1.0,0.5289487512464417,0,0,0,0,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.2,0.0,0.4642857142857143,0.3333333333333333,0.733034720735561,0,0,0,0,H
1,0.2727272727272727,0.2727272727272727,0.13333333333333333,1,0.0,1.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.8390991579285525,0,0,0,0,H
1,0.45454545454545453,0.2,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.8571428571428571,1.0,0.6963589125571228,0,1,0,0,M
0,0.18181818181818182,0.19090909090909092,0.06666666666666667,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.7098949770952317,0,0,1,1,M
0,0.6363636363636364,0.10909090909090909,0.2,1,0.0,0.5,0.4,0.0,0.9642857142857143,0.3333333333333333,0.7497476350320355,0,0,0,0,H
0,0.6363636363636364,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.7142857142857143,1.0,0.6416768013081972,0,0,0,0,H
0,0.6363636363636364,0.10909090909090909,0.2,1,0.0,0.0,0.2,0.0,0.7857142857142857,0.3333333333333333,0.7079314147294048,1,1,0,0,M
0,0.18181818181818182,1.0,0.2,1,1.0,1.0,0.6,0.0,0.8928571428571429,0.0,0.6149637755865387,0,0,0,0,H
1,0.36363636363636365,0.19090909090909092,0.06666666666666667,1,0.5,0.5,0.6,0.0,0.7142857142857143,0.0,0.7240171674962218,1,1,0,0,H
1,0.7272727272727273,0.1,0.13333333333333333,1,0.5,1.0,0.2,0.0,0.8571428571428571,0.3333333333333333,0.7221018480779073,0,0,0,0,H
1,0.0,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.2,0.0,0.39285714285714285,0.0,0.7103977453132894,0,0,0,0,H
1,0.7272727272727273,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.8571428571428571,0.0,0.6854200083439144,1,1,1,1,H
1,0.7272727272727273,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.75,0.3333333333333333,0.7521722751291499,1,1,0,0,H
1,0.6363636363636364,0.10909090909090909,0.2,1,0.0,0.0,0.4,1.0,0.75,0.3333333333333333,0.7365574764415158,1,1,1,1,H
1,0.45454545454545453,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.7142857142857143,1.0,0.6797951206458709,0,0,0,0,H
1,0.45454545454545453,0.19090909090909092,0.06666666666666667,1,0.0,1.0,0.6,0.0,0.8214285714285714,0.0,0.8155059575860302,0,0,0,0,H
0,0.6363636363636364,0.1,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.9642857142857143,0.3333333333333333,0.6410514651329885,0,0,1,1,H
1,0.5454545454545454,0.9090909090909091,0.0,1,0.0,0.0,1.0,0.0,0.9285714285714286,1.0,0.6632501889666528,0,0,1,1,H
1,0.09090909090909091,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.8214285714285714,0.0,0.7469513774351991,0,0,0,0,H
0,0.5454545454545454,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,0.39285714285714285,0.3333333333333333,0.6410761271551327,0,0,0,0,H
1,0.45454545454545453,0.10909090909090909,1.0,1,0.0,0.0,1.0,0.0,0.39285714285714285,0.3333333333333333,0.7003315229302223,1,1,1,1,H
0,0.36363636363636365,0.9090909090909091,0.0,1,0.0,1.0,0.6,0.0,0.8571428571428571,0.0,0.7254672859001599,1,1,0,0,H
1,0.6363636363636364,0.9090909090909091,0.0,1,0.0,0.0,0.2,0.0,0.8214285714285714,1.0,0.7160904551501841,1,1,0,0,M
0,0.5454545454545454,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,0.0,0.9642857142857143,0.3333333333333333,0.5219861730404041,0,0,0,0,H
0,0.36363636363636365,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.4,0.0,0.0,0.3333333333333333,0.5132649135445349,0,0,1,0,H
1,0.7272727272727273,0.2727272727272727,0.06666666666666667,1,0.0,0.0,0.4,0.0,1.0,1.0,0.6894614643271696,0,0,0,0,H
1,1.0,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.2,1.0,0.7142857142857143,0.6666666666666666,0.6742911998397076,1,1,1,1,H
0,0.7272727272727273,0.10909090909090909,0.2,1,0.0,0.0,0.2,0.0,0.7857142857142857,0.3333333333333333,0.6903687861020502,1,1,0,0,H
1,0.45454545454545453,0.2,0.13333333333333333,2,0.0,0.0,0.6,0.0,0.8214285714285714,1.0,0.7888949391415835,0,0,0,0,H
1,0.18181818181818182,0.9090909090909091,0.0,1,0.0,0.0,0.8,0.0,0.8571428571428571,0.0,0.5337077316527536,1,1,1,1,H
1,0.18181818181818182,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.8571428571428571,0.3333333333333333,0.660058642076053,1,1,0,1,H
1,0.0,0.0,0.2,1,0.5,0.5,0.2,0.1111111111111111,0.75,0.0,0.865818402095099,0,0,0,0,H
0,0.09090909090909091,0.0,1.0,1,0.0,0.0,0.2,0.0,0.8571428571428571,0.0,0.7215335880317304,0,0,0,0,H
0,0.5454545454545454,0.1,0.06666666666666667,1,0.0,0.0,0.8,0.0,0.8571428571428571,0.3333333333333333,0.5967083971236102,0,1,1,1,H
1,0.09090909090909091,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,0.9642857142857143,0.3333333333333333,0.8061239460407527,0,0,0,0,H
1,0.18181818181818182,0.1,0.06666666666666667,1,1.0,1.0,0.2,0.0,0.7857142857142857,0.3333333333333333,0.6944625734448077,0,0,0,0,H
0,0.45454545454545453,0.9090909090909091,0.0,2,0.0,0.0,1.0,0.0,0.8928571428571429,0.0,0.7113389542774635,1,1,1,1,H
1,0.8181818181818182,0.9090909090909091,0.0,1,0.0,0.0,0.8,0.0,0.9642857142857143,1.0,0.5247272561665051,1,1,1,1,H
0,0.18181818181818182,0.0,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.75,0.0,0.6503214034764372,1,1,0,0,H
0,0.5454545454545454,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.8214285714285714,0.0,0.6870053660859411,1,1,1,1,H
1,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,0.6,0.0,0.39285714285714285,1.0,0.6792493724208332,0,0,0,0,H
1,0.2727272727272727,0.2,0.2,1,0.0,0.0,0.8,0.0,0.8571428571428571,0.0,0.7360981290904784,0,0,1,1,H
0,0.09090909090909091,1.0,0.2,1,0.0,0.0,0.8,0.1111111111111111,1.0,0.0,0.5991867388511449,0,0,1,0,H
0,0.6363636363636364,0.9090909090909091,0.0,1,0.0,0.0,0.4,1.0,0.0,0.6666666666666666,0.7616448913668183,1,1,1,1,H
1,0.2727272727272727,0.2,0.9333333333333333,1,0.0,0.0,1.0,0.0,0.9285714285714286,0.0,0.5901400238026365,1,1,1,1,H
0,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.8524787920120861,1,1,1,1,H
0,0.2727272727272727,0.10909090909090909,0.2,1,0.0,1.0,0.6,0.0,0.39285714285714285,0.3333333333333333,0.6388225539505793,1,1,0,0,H
1,0.2727272727272727,0.2727272727272727,0.06666666666666667,1,1.0,1.0,0.6,0.0,0.9642857142857143,0.0,0.7667164042480986,0,0,0,0,H
0,0.45454545454545453,0.0,0.06666666666666667,1,0.0,0.0,0.6,1.0,0.0,0.0,0.813754286103446,1,1,1,1,H
0,0.7272727272727273,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.9285714285714286,1.0,0.7026656016437841,1,1,1,1,H
1,0.18181818181818182,1.0,0.06666666666666667,1,0.0,0.0,0.8,0.1111111111111111,0.8571428571428571,0.0,0.5569491327229886,0,0,1,1,H
1,0.09090909090909091,0.9090909090909091,0.0,1,0.0,0.0,1.0,0.1111111111111111,0.8571428571428571,0.0,0.6548796123160094,1,1,0,1,H
1,0.6363636363636364,0.0,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.8928571428571429,0.0,0.6325066609416115,0,0,0,0,H
0,0.6363636363636364,0.19090909090909092,0.06666666666666667,1,0.0,1.0,1.0,1.0,1.0,0.0,0.7811866935824463,1,1,1,1,H
1,0.5454545454545454,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.4,0.0,0.7857142857142857,0.3333333333333333,0.7468325119522861,0,0,0,0,H
1,0.18181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.8,0.0,0.8571428571428571,0.3333333333333333,0.6313807222116579,1,1,1,1,H
1,0.6363636363636364,0.2727272727272727,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.7142857142857143,1.0,0.6904533992105336,0,0,0,0,H
1,0.36363636363636365,0.2,0.9333333333333333,1,0.0,0.0,0.6,0.0,0.9642857142857143,0.0,0.5050923126610389,0,0,0,0,H
0,0.45454545454545453,0.0,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.6604065169310088,1,1,1,1,H
0,0.18181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.8139130012255897,0,0,1,1,M
1,0.36363636363636365,0.10909090909090909,1.0,1,0.0,1.0,0.2,0.0,0.75,0.3333333333333333,0.8638649466682674,0,0,0,0,H
0,0.8181818181818182,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.75,0.3333333333333333,0.5395197040595582,1,1,1,0,H
1,0.2727272727272727,0.1,0.06666666666666667,1,0.0,0.0,0.8,0.0,0.8214285714285714,0.3333333333333333,0.687049395317659,0,0,1,1,H
1,0.45454545454545453,0.2727272727272727,0.13333333333333333,1,0.0,1.0,0.4,0.0,0.7142857142857143,1.0,0.8406920727051772,0,0,0,0,H
1,0.18181818181818182,0.19090909090909092,0.06666666666666667,2,0.0,0.0,0.4,0.0,0.8571428571428571,0.0,0.7801721881419622,1,1,0,0,M
0,0.2727272727272727,0.1,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.9642857142857143,0.3333333333333333,0.6526356172069028,0,0,0,0,H
1,0.2727272727272727,0.10909090909090909,0.13333333333333333,1,0.5,0.5,0.6,0.0,0.8571428571428571,0.3333333333333333,0.7178589405614811,0,0,0,0,H
