sex,prev_residence_place,cur_eco_activity,marital_status,edu_level,economic_status,country_birth,household_size,citizenship,age,household_position,expert prediction,machine prediction,ground truth,proba_model,occupation,provider
1,1,0.75,0.3333333333333333,0.6,0.0,0.0,0.9333333333333333,0.0,0.45454545454545453,0.10909090909090909,1,0,0,0.7031977123758006,1,H
1,1,0.8571428571428571,0.0,0.6,0.0,0.0,0.2,0.0,0.2727272727272727,0.2,1,0,0,0.6975301801730674,0,M
0,2,0.8571428571428571,0.0,0.6,0.1111111111111111,0.0,0.06666666666666667,0.0,0.0,0.19090909090909092,0,0,0,0.5702329067445353,0,H
1,1,0.9642857142857143,0.3333333333333333,0.6,0.0,1.0,0.13333333333333333,0.0,0.45454545454545453,0.10909090909090909,0,0,0,0.7213550059021797,0,H
0,1,0.8214285714285714,1.0,0.8,0.0,0.0,0.13333333333333333,0.0,0.45454545454545453,0.2,1,0,1,0.6689161360348783,0,M
1,1,0.8928571428571429,0.3333333333333333,0.6,0.0,0.0,0.2,0.0,0.36363636363636365,0.10909090909090909,0,0,1,0.5592339488763491,0,H
1,1,0.7142857142857143,0.0,0.6,0.0,0.0,0.2,0.0,0.45454545454545453,0.2,1,0,0,0.7215151073605199,0,M
1,1,0.75,0.0,1.0,0.0,0.0,0.2,0.0,0.09090909090909091,0.0,0,0,0,0.5587484381739735,0,H
0,1,0.9285714285714286,0.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273,0.9090909090909091,1,1,1,0.6406596332323559,1,H
1,1,0.8571428571428571,0.3333333333333333,0.8,0.0,0.0,0.13333333333333333,0.0,0.6363636363636364,0.10909090909090909,1,0,0,0.6435970673141401,1,H
0,1,0.9285714285714286,1.0,1.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.9090909090909091,0,1,1,0.7615224485431052,1,H
1,1,0.9285714285714286,0.0,1.0,0.0,0.0,0.13333333333333333,0.0,0.6363636363636364,0.2,1,1,1,0.7082604960862893,1,H
0,1,0.39285714285714285,0.3333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.18181818181818182,0.10909090909090909,0,0,0,0.5400075265529443,0,H
1,1,0.75,0.0,1.0,0.0,0.0,0.13333333333333333,0.0,0.18181818181818182,0.2,1,0,0,0.611580471425305,1,H
0,1,1.0,0.3333333333333333,0.2,0.0,0.0,0.9333333333333333,0.0,0.5454545454545454,0.10909090909090909,1,1,1,0.5265317148552031,0,H
0,1,0.39285714285714285,1.0,0.8,0.0,0.0,0.06666666666666667,0.0,0.45454545454545453,0.2727272727272727,1,0,1,0.5577577693670344,0,M
0,1,0.39285714285714285,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,1,0,1,0.8978018429887776,0,H
1,1,0.4642857142857143,0.3333333333333333,0.4,0.0,1.0,0.13333333333333333,0.0,0.5454545454545454,0.1,1,0,0,0.6479899725928643,0,M
0,1,0.7142857142857143,0.0,0.8,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,1,0,1,0.7104593950290722,0,M
0,1,0.7857142857142857,0.0,1.0,0.1111111111111111,0.0,0.2,0.0,0.09090909090909091,0.0,1,0,0,0.5687404696605431,1,H
1,1,0.9285714285714286,0.3333333333333333,0.4,0.0,0.0,0.13333333333333333,0.0,0.7272727272727273,0.10909090909090909,0,0,0,0.6874607168855161,0,H
0,1,0.39285714285714285,0.3333333333333333,0.2,0.0,0.0,0.9333333333333333,0.0,0.5454545454545454,0.10909090909090909,0,0,0,0.590303449688508,0,H
1,1,0.9642857142857143,0.3333333333333333,0.6,0.0,0.0,0.13333333333333333,0.0,0.45454545454545453,0.10909090909090909,0,0,0,0.6798266412197789,0,H
0,1,0.4642857142857143,0.0,0.4,0.0,0.0,0.2,0.0,0.09090909090909091,0.0,0,0,1,0.8128799880312816,0,H
1,1,0.7857142857142857,0.3333333333333333,0.6,1.0,0.0,0.2,0.0,0.36363636363636365,0.10909090909090909,1,1,0,0.8261691908338826,1,H
0,1,1.0,0.3333333333333333,0.4,1.0,0.0,0.2,0.0,0.8181818181818182,0.10909090909090909,1,1,1,0.6176047852959176,1,H
