sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,proba_model,ground truth,expert prediction,machine prediction,occupation,provider
1,0.18181818181818182,0.19090909090909092,0.06666666666666667,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.7579424596159435,0,0,1,1,H
0,0.45454545454545453,0.0,0.2,1,0.0,0.0,1.0,1.0,0.7142857142857143,0.0,0.8472079649204959,1,1,1,1,H
0,0.8181818181818182,0.1,0.06666666666666667,1,0.0,1.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.7615173824454375,1,1,1,1,H
1,0.6363636363636364,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.9563492015811943,1,1,1,1,H
1,0.09090909090909091,0.9090909090909091,0.0,1,1.0,1.0,0.8,0.1111111111111111,0.7142857142857143,0.0,0.6091899597696165,0,0,0,0,H
0,0.5454545454545454,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.917848937332434,1,1,1,1,H
0,0.2727272727272727,0.1,0.06666666666666667,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.8440805131427159,1,1,1,1,H
1,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.0,0.87078745573682,1,1,0,0,M
0,0.36363636363636365,0.2,0.13333333333333333,1,0.0,0.0,0.8,0.0,0.8928571428571429,0.0,0.8708387280192773,1,1,0,0,M
0,0.9090909090909091,0.10909090909090909,0.2,1,0.0,0.0,1.0,1.0,0.8571428571428571,0.3333333333333333,0.9838281837545079,1,1,1,1,H
0,0.2727272727272727,0.2,0.2,1,0.0,0.0,0.4,1.0,0.75,0.0,0.9572607247948237,1,1,1,1,H
1,0.7272727272727273,0.1,0.06666666666666667,1,0.0,1.0,0.0,0.0,0.9642857142857143,0.3333333333333333,0.9194823371408567,0,0,0,0,H
0,0.2727272727272727,0.1,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.8214285714285714,0.3333333333333333,0.9376332431122469,1,1,0,0,M
1,0.5454545454545454,0.10909090909090909,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.8928571428571429,0.3333333333333333,0.8986725736576703,1,1,1,1,H
1,0.18181818181818182,0.0,0.2,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.7031668142384931,1,1,1,1,H
0,0.09090909090909091,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.4,0.0,1.0,0.0,0.9633956645137602,0,0,0,0,H
1,0.5454545454545454,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.955938880886246,1,1,0,0,M
1,0.18181818181818182,0.2,0.2,1,0.5,0.5,0.2,0.0,0.8571428571428571,0.0,0.8319081475535929,0,0,0,0,H
1,0.9090909090909091,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.75,1.0,0.8604398707212276,0,0,0,0,H
0,0.09090909090909091,0.9090909090909091,0.0,2,0.0,0.0,0.8,0.1111111111111111,0.7857142857142857,0.0,0.9050210685807096,0,0,0,0,H
1,0.36363636363636365,0.10909090909090909,0.2,1,0.0,0.0,0.2,1.0,1.0,0.3333333333333333,0.9140871184157411,0,0,1,1,M
0,0.2727272727272727,0.2,0.13333333333333333,1,0.0,0.0,0.8,0.0,0.39285714285714285,0.0,0.8970594272865055,1,1,0,0,M
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.4,1.0,0.0,0.3333333333333333,0.9149413634712469,1,1,1,1,H
0,0.36363636363636365,0.10909090909090909,0.13333333333333333,1,0.5,0.5,1.0,0.0,0.8928571428571429,0.3333333333333333,0.7752421248270823,1,1,1,1,H
0,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,1.0,0.0,0.39285714285714285,0.0,0.8878664784486128,1,1,1,1,H
1,0.45454545454545453,0.10909090909090909,0.9333333333333333,1,1.0,1.0,0.4,0.0,0.7142857142857143,0.3333333333333333,0.7944044145355559,0,0,0,0,H
1,0.2727272727272727,0.2,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.8214285714285714,1.0,0.9431847485671047,1,1,0,1,H
0,0.2727272727272727,0.1,0.13333333333333333,1,1.0,1.0,0.6,0.0,0.8571428571428571,0.3333333333333333,0.8375789475666614,0,0,0,0,H
0,0.7272727272727273,0.1,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.9642857142857143,0.3333333333333333,0.8938406723302655,0,0,0,0,H
1,0.36363636363636365,0.10909090909090909,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.7065700590741996,1,1,1,1,H
