sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,proba_model,ground truth,expert prediction,machine prediction,occupation,provider
1,0.18181818181818182,0.19090909090909092,0.06666666666666667,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.649837909115649,0,1,1,1,H
0,0.45454545454545453,0.0,0.2,1,0.0,0.0,1.0,1.0,0.7142857142857143,0.0,0.92654342406548,1,0,1,1,H
0,0.8181818181818182,0.1,0.06666666666666667,1,0.0,1.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.6705606980687907,1,1,1,1,H
1,0.6363636363636364,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.901738970148684,1,1,1,1,H
1,0.09090909090909091,0.9090909090909091,0.0,1,1.0,1.0,0.8,0.1111111111111111,0.7142857142857143,0.0,0.5356126777157034,0,0,0,0,H
0,0.5454545454545454,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.7682020211630601,1,0,1,1,M
0,0.2727272727272727,0.1,0.06666666666666667,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.6431068933940003,1,0,1,1,M
1,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.0,0.7851590359586684,1,1,0,1,M
0,0.36363636363636365,0.2,0.13333333333333333,1,0.0,0.0,0.8,0.0,0.8928571428571429,0.0,0.621749902569037,1,1,1,1,H
0,0.9090909090909091,0.10909090909090909,0.2,1,0.0,0.0,1.0,1.0,0.8571428571428571,0.3333333333333333,0.9451572062637296,1,0,1,1,H
0,0.2727272727272727,0.2,0.2,1,0.0,0.0,0.4,1.0,0.75,0.0,0.9499800152668126,1,0,1,1,H
1,0.7272727272727273,0.1,0.06666666666666667,1,0.0,1.0,0.0,0.0,0.9642857142857143,0.3333333333333333,0.7325540085217954,0,0,0,0,H
0,0.2727272727272727,0.1,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.8214285714285714,0.3333333333333333,0.8402928266150461,1,1,0,0,H
1,0.5454545454545454,0.10909090909090909,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.8928571428571429,0.3333333333333333,0.7739726340455192,1,0,1,1,M
1,0.18181818181818182,0.0,0.2,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.6454094974109658,1,1,1,1,H
0,0.09090909090909091,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.4,0.0,1.0,0.0,0.7927077582415518,0,0,0,0,H
1,0.5454545454545454,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.7018575142437093,1,1,0,0,H
1,0.18181818181818182,0.2,0.2,1,0.5,0.5,0.2,0.0,0.8571428571428571,0.0,0.7117168333214324,0,1,0,0,M
1,0.9090909090909091,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.75,1.0,0.8149731329839592,0,0,0,0,H
0,0.09090909090909091,0.9090909090909091,0.0,2,0.0,0.0,0.8,0.1111111111111111,0.7857142857142857,0.0,0.5449780304936872,0,1,0,1,H
1,0.36363636363636365,0.10909090909090909,0.2,1,0.0,0.0,0.2,1.0,1.0,0.3333333333333333,0.802077351845948,0,0,1,1,M
0,0.2727272727272727,0.2,0.13333333333333333,1,0.0,0.0,0.8,0.0,0.39285714285714285,0.0,0.677982249094266,1,1,1,1,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.4,1.0,0.0,0.3333333333333333,0.8679294133441898,1,1,1,1,H
0,0.36363636363636365,0.10909090909090909,0.13333333333333333,1,0.5,0.5,1.0,0.0,0.8928571428571429,0.3333333333333333,0.6140914254941245,1,1,1,0,H
0,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,1.0,0.0,0.39285714285714285,0.0,0.8405418222005739,1,0,1,1,H
1,0.45454545454545453,0.10909090909090909,0.9333333333333333,1,1.0,1.0,0.4,0.0,0.7142857142857143,0.3333333333333333,0.694060096335757,0,0,0,0,H
1,0.2727272727272727,0.2,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.8214285714285714,1.0,0.8971207196314229,1,1,0,0,M
0,0.2727272727272727,0.1,0.13333333333333333,1,1.0,1.0,0.6,0.0,0.8571428571428571,0.3333333333333333,0.9167314922472953,0,1,0,0,M
0,0.7272727272727273,0.1,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.9642857142857143,0.3333333333333333,0.9191732339026022,0,0,0,0,H
1,0.36363636363636365,0.10909090909090909,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.7298692981428945,1,1,1,1,H
1,0.2727272727272727,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.710693511562676,1,1,0,0,H
0,0.5454545454545454,0.10909090909090909,1.0,1,0.0,0.0,0.4,0.0,0.8928571428571429,0.3333333333333333,0.8708504551468154,0,0,0,0,H
1,0.5454545454545454,0.19090909090909092,0.06666666666666667,2,0.0,0.0,0.6,0.0,0.9642857142857143,1.0,0.7459737941026634,0,0,0,0,H
1,0.6363636363636364,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.75,0.3333333333333333,0.6448657719023559,0,0,0,0,H
1,0.5454545454545454,0.1,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.3333333333333333,0.8586601552999925,0,0,0,0,H
0,0.36363636363636365,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.7142857142857143,0.0,0.9372575510646962,0,0,0,0,H
1,0.6363636363636364,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.2,0.0,1.0,0.3333333333333333,0.8043462532407104,0,0,0,0,H
1,0.45454545454545453,0.2727272727272727,0.13333333333333333,2,0.0,0.0,0.8,1.0,0.7142857142857143,0.3333333333333333,0.9123305477371925,1,0,1,1,H
0,0.45454545454545453,0.19090909090909092,0.06666666666666667,1,0.5,0.5,1.0,0.0,1.0,0.0,0.603710496976528,1,0,1,1,M
0,0.45454545454545453,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.2,0.0,0.4642857142857143,0.3333333333333333,0.8125221586659834,1,0,0,0,H
0,0.7272727272727273,0.9090909090909091,0.0,1,0.0,0.0,1.0,1.0,0.39285714285714285,1.0,0.8143005764377566,1,1,1,1,H
1,0.09090909090909091,0.19090909090909092,0.06666666666666667,2,0.0,0.0,0.6,0.0,0.8571428571428571,0.0,0.6706129689259479,0,0,0,0,H
0,0.36363636363636365,0.19090909090909092,0.06666666666666667,2,0.0,0.0,1.0,0.0,0.7142857142857143,1.0,0.690820625112621,1,0,1,1,H
1,0.6363636363636364,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,1.0,0.7142857142857143,0.3333333333333333,0.8935642873553848,1,1,1,1,H
1,0.2727272727272727,0.2727272727272727,0.13333333333333333,1,0.0,1.0,0.2,0.0,0.9642857142857143,0.0,0.7906878032127042,0,0,0,0,H
0,0.5454545454545454,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,1.0,0.3333333333333333,0.9241300578246724,0,0,0,0,H
0,0.36363636363636365,0.2,0.2,1,0.0,0.0,0.4,1.0,0.7142857142857143,0.0,0.8220618165818927,1,0,1,1,H
0,0.45454545454545453,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.7142857142857143,1.0,0.9154571858105456,1,0,0,0,H
0,0.36363636363636365,0.10909090909090909,0.2,1,0.0,0.0,1.0,0.0,0.7857142857142857,0.3333333333333333,0.6491795577546695,0,0,1,1,M
0,0.2727272727272727,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.8336084798976025,0,0,0,0,H
0,0.7272727272727273,0.1,0.06666666666666667,1,0.5,1.0,1.0,0.0,0.8571428571428571,0.3333333333333333,0.7253459362312163,1,1,1,0,H
1,0.36363636363636365,0.2727272727272727,0.13333333333333333,1,0.0,0.0,1.0,0.0,1.0,1.0,0.8770078788035421,1,0,1,1,H
1,0.45454545454545453,0.0,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.8571428571428571,0.0,0.7372500831836397,0,1,1,1,H
0,0.7272727272727273,0.1,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.39285714285714285,0.3333333333333333,0.7841500760641255,0,0,0,0,H
0,0.36363636363636365,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.8130328352966348,1,1,1,1,H
1,0.18181818181818182,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.8928571428571429,0.0,0.8727115429170411,1,1,1,1,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,1.0,0.0,0.9285714285714286,0.3333333333333333,0.8707241308918949,0,0,1,1,H
0,0.6363636363636364,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.2,0.0,0.7142857142857143,0.3333333333333333,0.8983104209476205,1,1,0,0,M
0,0.2727272727272727,0.9090909090909091,0.0,1,0.0,0.0,0.6,1.0,0.75,0.0,0.8819917129379117,1,1,1,1,H
0,0.8181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.8,0.0,0.8571428571428571,0.3333333333333333,0.5088934561870343,1,1,1,1,H
1,0.18181818181818182,0.0,0.2,1,0.0,0.0,0.4,0.1111111111111111,0.9642857142857143,0.0,0.738858451367084,0,1,0,0,M
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.0,0.0,0.8571428571428571,0.3333333333333333,0.8757855680217282,0,0,0,0,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,1.0,0.6,0.0,0.4642857142857143,0.3333333333333333,0.8956400387488552,0,1,0,0,H
0,0.45454545454545453,0.2,0.13333333333333333,1,0.0,0.0,0.4,0.0,1.0,1.0,0.8989683176595722,0,0,0,0,H
0,0.2727272727272727,0.19090909090909092,0.06666666666666667,1,0.0,1.0,1.0,0.0,0.8928571428571429,0.0,0.8190748905688081,1,1,1,1,H
0,0.45454545454545453,0.10909090909090909,1.0,1,0.0,0.0,0.8,0.0,0.8571428571428571,0.3333333333333333,0.5216781767431946,1,1,1,1,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.5,1.0,0.0,0.9642857142857143,0.3333333333333333,0.7929783156405086,1,1,1,1,H
0,0.6363636363636364,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.7857142857142857,1.0,0.7572928291169208,0,0,0,0,H
1,0.09090909090909091,0.0,1.0,1,0.0,0.0,0.6,0.0,0.75,0.0,0.8066717422007837,0,1,0,0,M
1,0.18181818181818182,0.2,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.7142857142857143,1.0,0.7563102751831373,0,0,0,0,H
0,0.2727272727272727,0.10909090909090909,0.2,2,0.0,0.0,1.0,0.0,0.39285714285714285,0.3333333333333333,0.7192775960360158,0,1,1,1,H
1,0.5454545454545454,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,0.0,0.4642857142857143,0.3333333333333333,0.6755364142725205,0,0,0,0,H
1,0.45454545454545453,0.2,0.2,1,0.0,0.0,0.4,0.0,0.8571428571428571,1.0,0.8668930988893664,1,0,0,0,H
1,0.8181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.6,1.0,1.0,0.3333333333333333,0.9017685145527173,0,1,1,1,H
1,0.7272727272727273,0.1,0.06666666666666667,1,0.0,0.0,0.0,0.0,0.39285714285714285,0.3333333333333333,0.7145546693304085,1,1,0,0,M
1,0.6363636363636364,0.9090909090909091,0.0,1,0.0,0.0,0.6,0.0,0.7857142857142857,1.0,0.7710166341715249,0,1,0,0,M
1,0.5454545454545454,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.8928571428571429,1.0,0.9131313185140562,0,1,0,0,H
1,0.45454545454545453,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.6844967333764341,0,0,0,0,H
1,0.45454545454545453,0.2727272727272727,0.06666666666666667,1,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.7833597067717311,1,0,1,1,H
1,0.36363636363636365,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.2,0.0,0.7142857142857143,0.3333333333333333,0.7762844462608077,0,0,0,0,H
1,0.36363636363636365,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.8,0.0,0.9285714285714286,0.3333333333333333,0.5405720764342374,0,1,0,1,H
0,0.8181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.8534258820443448,1,1,0,0,H
0,0.5454545454545454,0.2,0.2,1,0.0,0.0,1.0,0.0,0.9642857142857143,1.0,0.8650542493376409,1,1,1,1,H
1,0.18181818181818182,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.8,0.0,0.9642857142857143,0.3333333333333333,0.5851289856996736,0,0,1,0,H
1,0.09090909090909091,0.2,0.13333333333333333,1,0.0,0.0,0.2,0.0,0.7142857142857143,0.0,0.8740013292441163,0,0,0,0,H
1,0.2727272727272727,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.39285714285714285,0.0,0.8348753688640422,1,1,1,1,H
1,0.2727272727272727,0.10909090909090909,0.2,1,0.0,1.0,0.0,0.0,0.8571428571428571,0.3333333333333333,0.840671535370686,0,0,0,0,H
0,0.36363636363636365,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.8214285714285714,0.0,0.7128914872241032,1,1,0,0,H
0,0.09090909090909091,0.0,0.2,1,0.0,0.0,0.6,0.0,0.7142857142857143,0.0,0.8868605044501005,0,0,0,0,H
0,0.36363636363636365,0.2,0.2,1,0.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.8494180341897639,1,0,1,1,H
1,0.18181818181818182,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.2,0.0,1.0,1.0,0.8551528596819807,0,0,0,0,H
1,0.36363636363636365,0.9090909090909091,0.0,1,0.0,0.0,0.6,0.0,0.9642857142857143,0.3333333333333333,0.6738424282089281,0,0,0,0,H
1,0.2727272727272727,0.1,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.7142857142857143,0.3333333333333333,0.6899334442344357,1,0,0,0,H
0,0.45454545454545453,0.1,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.8571428571428571,0.3333333333333333,0.7102144194838595,0,0,0,0,H
1,0.18181818181818182,0.10909090909090909,0.2,1,0.0,0.0,0.8,0.0,0.39285714285714285,0.3333333333333333,0.6065510314646888,0,1,1,1,H
1,0.7272727272727273,0.9090909090909091,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.8538894493921566,1,1,1,1,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.8571428571428571,0.3333333333333333,0.6747143851446806,1,0,0,0,H
0,0.09090909090909091,1.0,0.13333333333333333,1,1.0,1.0,0.2,0.1111111111111111,0.7142857142857143,0.0,0.7126314442338634,0,1,0,0,M
