sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,proba_model,ground truth,expert prediction,machine prediction,occupation,provider
1,0.1818181818181818,0.1909090909090909,0.0666666666666666,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.7332433927540654,0,0,1,0,H
0,0.4545454545454545,0.0,0.2,1,0.0,0.0,1.0,1.0,0.7142857142857143,0.0,0.8943524514299626,1,1,1,1,H
0,0.8181818181818182,0.1,0.0666666666666666,1,0.0,1.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.8339322697579054,1,1,1,1,H
1,0.6363636363636364,0.1909090909090909,0.0666666666666666,1,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.9489901400775134,1,1,1,1,H
1,0.0909090909090909,0.9090909090909092,0.0,1,1.0,1.0,0.8,0.1111111111111111,0.7142857142857143,0.0,0.7388751654950958,0,0,0,0,H
0,0.5454545454545454,0.109090909090909,0.9333333333333332,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.8870252577354778,1,1,1,1,H
0,0.2727272727272727,0.1,0.0666666666666666,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.7870931215524013,1,1,1,1,H
1,0.4545454545454545,0.9090909090909092,0.0,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.0,0.713453890717554,1,1,0,1,H
0,0.3636363636363636,0.2,0.1333333333333333,1,0.0,0.0,0.8,0.0,0.8928571428571429,0.0,0.7575529926811382,1,0,1,1,M
0,0.9090909090909092,0.109090909090909,0.2,1,0.0,0.0,1.0,1.0,0.8571428571428571,0.3333333333333333,0.934354012953276,1,1,1,1,H
0,0.2727272727272727,0.2,0.2,1,0.0,0.0,0.4,1.0,0.75,0.0,0.8711401118414372,1,1,1,1,H
1,0.7272727272727273,0.1,0.0666666666666666,1,0.0,1.0,0.0,0.0,0.9642857142857144,0.3333333333333333,0.8291707410541841,0,0,0,0,H
0,0.2727272727272727,0.1,0.0666666666666666,1,0.0,0.0,0.6,0.0,0.8214285714285714,0.3333333333333333,0.8066479871640495,1,1,0,0,M
1,0.5454545454545454,0.109090909090909,0.1333333333333333,1,0.0,0.0,1.0,0.0,0.8928571428571429,0.3333333333333333,0.8576876919486947,1,1,1,1,H
1,0.1818181818181818,0.0,0.2,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.6598881689791369,1,1,1,1,H
0,0.0909090909090909,0.1909090909090909,0.0666666666666666,1,0.0,0.0,0.4,0.0,1.0,0.0,0.9459424514629896,0,0,0,0,H
1,0.5454545454545454,0.109090909090909,0.2,1,0.0,0.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.7983720483138759,1,1,0,0,M
1,0.1818181818181818,0.2,0.2,1,0.5,0.5,0.2,0.0,0.8571428571428571,0.0,0.9426288891736688,0,0,0,0,H
1,0.9090909090909092,0.9090909090909092,0.0,1,0.0,0.0,0.4,0.0,0.75,1.0,0.8615814972470479,0,0,0,0,H
0,0.0909090909090909,0.9090909090909092,0.0,2,0.0,0.0,0.8,0.1111111111111111,0.7857142857142857,0.0,0.715035673016512,0,0,0,0,H
1,0.3636363636363636,0.109090909090909,0.2,1,0.0,0.0,0.2,1.0,1.0,0.3333333333333333,0.7835256649854602,0,0,1,1,H
0,0.2727272727272727,0.2,0.1333333333333333,1,0.0,0.0,0.8,0.0,0.3928571428571428,0.0,0.8119928193470906,1,1,1,1,H
1,0.4545454545454545,0.109090909090909,0.2,1,0.0,0.0,0.4,1.0,0.0,0.3333333333333333,0.7939943305192431,1,1,1,1,H
0,0.3636363636363636,0.109090909090909,0.1333333333333333,1,0.5,0.5,1.0,0.0,0.8928571428571429,0.3333333333333333,0.9240007204845544,1,1,1,1,H
0,0.4545454545454545,0.9090909090909092,0.0,1,0.0,0.0,1.0,0.0,0.3928571428571428,0.0,0.8478385932062451,1,1,1,1,H
1,0.4545454545454545,0.109090909090909,0.9333333333333332,1,1.0,1.0,0.4,0.0,0.7142857142857143,0.3333333333333333,0.8176521103599023,0,0,0,0,H
1,0.2727272727272727,0.2,0.1333333333333333,1,0.0,0.0,0.4,0.0,0.8214285714285714,1.0,0.8320197165140455,1,1,0,1,H
0,0.2727272727272727,0.1,0.1333333333333333,1,1.0,1.0,0.6,0.0,0.8571428571428571,0.3333333333333333,0.8637262975270773,0,0,0,0,H
0,0.7272727272727273,0.1,0.0666666666666666,1,0.0,0.0,0.4,0.0,0.9642857142857144,0.3333333333333333,0.8834832796182376,0,0,0,0,H
1,0.3636363636363636,0.109090909090909,0.1333333333333333,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.8827517109095295,1,1,1,1,H
1,0.2727272727272727,0.109090909090909,0.1333333333333333,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.6664505206114413,1,1,0,1,H
0,0.5454545454545454,0.109090909090909,1.0,1,0.0,0.0,0.4,0.0,0.8928571428571429,0.3333333333333333,0.8803873725298996,0,0,0,0,H
1,0.5454545454545454,0.1909090909090909,0.0666666666666666,2,0.0,0.0,0.6,0.0,0.9642857142857144,1.0,0.832002151845755,0,0,0,0,H
1,0.6363636363636364,0.109090909090909,0.1333333333333333,1,0.0,0.0,0.6,0.0,0.75,0.3333333333333333,0.7163044407680014,0,0,0,0,H
1,0.5454545454545454,0.1,0.0666666666666666,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.3333333333333333,0.7944388586626141,0,0,0,0,H
0,0.3636363636363636,0.1909090909090909,0.0666666666666666,1,0.0,0.0,0.4,0.0,0.7142857142857143,0.0,0.839451625407776,0,0,0,0,H
1,0.6363636363636364,0.109090909090909,0.1333333333333333,1,0.0,0.0,0.2,0.0,1.0,0.3333333333333333,0.8564243400741869,0,0,0,0,H
1,0.4545454545454545,0.2727272727272727,0.1333333333333333,2,0.0,0.0,0.8,1.0,0.7142857142857143,0.3333333333333333,0.8662136719225046,1,1,1,1,H
0,0.4545454545454545,0.1909090909090909,0.0666666666666666,1,0.5,0.5,1.0,0.0,1.0,0.0,0.9013202625382296,1,1,1,1,H
0,0.4545454545454545,0.109090909090909,0.9333333333333332,1,0.0,0.0,0.2,0.0,0.4642857142857143,0.3333333333333333,0.852754512801077,1,0,0,0,H
0,0.7272727272727273,0.9090909090909092,0.0,1,0.0,0.0,1.0,1.0,0.3928571428571428,1.0,0.9031996717816606,1,1,1,1,H
1,0.0909090909090909,0.1909090909090909,0.0666666666666666,2,0.0,0.0,0.6,0.0,0.8571428571428571,0.0,0.8935688645087636,0,0,0,0,H
0,0.3636363636363636,0.1909090909090909,0.0666666666666666,2,0.0,0.0,1.0,0.0,0.7142857142857143,1.0,0.8208191169694257,1,1,1,1,H
1,0.6363636363636364,0.109090909090909,0.9333333333333332,1,0.0,0.0,0.6,1.0,0.7142857142857143,0.3333333333333333,0.8803621861162092,1,1,1,1,H
1,0.2727272727272727,0.2727272727272727,0.1333333333333333,1,0.0,1.0,0.2,0.0,0.9642857142857144,0.0,0.8722378484912868,0,0,0,0,H
0,0.5454545454545454,0.109090909090909,0.2,1,0.0,0.0,0.4,0.0,1.0,0.3333333333333333,0.9089339666755832,0,0,0,0,H
0,0.3636363636363636,0.2,0.2,1,0.0,0.0,0.4,1.0,0.7142857142857143,0.0,0.9007224725291398,1,1,1,1,H
0,0.4545454545454545,0.1909090909090909,0.0666666666666666,1,0.0,0.0,0.4,0.0,0.7142857142857143,1.0,0.8904720840119729,1,1,0,0,H
0,0.3636363636363636,0.109090909090909,0.2,1,0.0,0.0,1.0,0.0,0.7857142857142857,0.3333333333333333,0.79049087587233,0,0,1,1,M
0,0.2727272727272727,0.109090909090909,0.2,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.81344092643235,0,0,0,0,H
0,0.7272727272727273,0.1,0.0666666666666666,1,0.5,1.0,1.0,0.0,0.8571428571428571,0.3333333333333333,0.9487199983642732,1,1,1,1,H
1,0.3636363636363636,0.2727272727272727,0.1333333333333333,1,0.0,0.0,1.0,0.0,1.0,1.0,0.9097628599265476,1,1,1,1,H
1,0.4545454545454545,0.0,0.0666666666666666,1,0.0,0.0,1.0,0.0,0.8571428571428571,0.0,0.8721274844922885,0,0,1,1,H
0,0.7272727272727273,0.1,0.0666666666666666,1,0.0,0.0,0.6,0.0,0.3928571428571428,0.3333333333333333,0.8489230504206704,0,0,0,0,H
