sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,proba_model,ground truth,expert prediction,machine prediction,occupation,provider
1,0.1818181818181818,0.1909090909090909,0.0666666666666666,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.7579424596159435,0,0,1,1,H
0,0.4545454545454545,0.0,0.2,1,0.0,0.0,1.0,1.0,0.7142857142857143,0.0,0.8472079649204959,1,1,1,1,H
0,0.8181818181818182,0.1,0.0666666666666666,1,0.0,1.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.7615173824454375,1,1,1,1,H
1,0.6363636363636364,0.1909090909090909,0.0666666666666666,1,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.9563492015811944,1,1,1,1,H
1,0.0909090909090909,0.9090909090909092,0.0,1,1.0,1.0,0.8,0.1111111111111111,0.7142857142857143,0.0,0.6091899597696165,0,0,0,0,H
0,0.5454545454545454,0.109090909090909,0.9333333333333332,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.917848937332434,1,1,1,1,H
0,0.2727272727272727,0.1,0.0666666666666666,2,0.0,0.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.8440805131427159,1,1,1,1,H
1,0.4545454545454545,0.9090909090909092,0.0,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.0,0.87078745573682,1,1,0,0,M
0,0.3636363636363636,0.2,0.1333333333333333,1,0.0,0.0,0.8,0.0,0.8928571428571429,0.0,0.8708387280192773,1,1,0,0,M
0,0.9090909090909092,0.109090909090909,0.2,1,0.0,0.0,1.0,1.0,0.8571428571428571,0.3333333333333333,0.983828183754508,1,1,1,1,H
0,0.2727272727272727,0.2,0.2,1,0.0,0.0,0.4,1.0,0.75,0.0,0.9572607247948236,1,1,1,1,H
1,0.7272727272727273,0.1,0.0666666666666666,1,0.0,1.0,0.0,0.0,0.9642857142857144,0.3333333333333333,0.9194823371408568,0,0,0,0,H
0,0.2727272727272727,0.1,0.0666666666666666,1,0.0,0.0,0.6,0.0,0.8214285714285714,0.3333333333333333,0.9376332431122468,1,1,0,0,M
1,0.5454545454545454,0.109090909090909,0.1333333333333333,1,0.0,0.0,1.0,0.0,0.8928571428571429,0.3333333333333333,0.8986725736576703,1,1,1,1,H
1,0.1818181818181818,0.0,0.2,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.7031668142384931,1,1,1,1,H
0,0.0909090909090909,0.1909090909090909,0.0666666666666666,1,0.0,0.0,0.4,0.0,1.0,0.0,0.9633956645137602,0,0,0,0,H
1,0.5454545454545454,0.109090909090909,0.2,1,0.0,0.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.955938880886246,1,1,0,0,M
1,0.1818181818181818,0.2,0.2,1,0.5,0.5,0.2,0.0,0.8571428571428571,0.0,0.8319081475535929,0,0,0,0,H
1,0.9090909090909092,0.9090909090909092,0.0,1,0.0,0.0,0.4,0.0,0.75,1.0,0.8604398707212276,0,0,0,0,H
0,0.0909090909090909,0.9090909090909092,0.0,2,0.0,0.0,0.8,0.1111111111111111,0.7857142857142857,0.0,0.9050210685807096,0,0,0,0,H
1,0.3636363636363636,0.109090909090909,0.2,1,0.0,0.0,0.2,1.0,1.0,0.3333333333333333,0.9140871184157412,0,0,1,1,M
0,0.2727272727272727,0.2,0.1333333333333333,1,0.0,0.0,0.8,0.0,0.3928571428571428,0.0,0.8970594272865055,1,1,0,0,M
1,0.4545454545454545,0.109090909090909,0.2,1,0.0,0.0,0.4,1.0,0.0,0.3333333333333333,0.9149413634712468,1,1,1,1,H
0,0.3636363636363636,0.109090909090909,0.1333333333333333,1,0.5,0.5,1.0,0.0,0.8928571428571429,0.3333333333333333,0.7752421248270823,1,1,1,1,H
0,0.4545454545454545,0.9090909090909092,0.0,1,0.0,0.0,1.0,0.0,0.3928571428571428,0.0,0.8878664784486128,1,1,1,1,H
1,0.4545454545454545,0.109090909090909,0.9333333333333332,1,1.0,1.0,0.4,0.0,0.7142857142857143,0.3333333333333333,0.7944044145355559,0,0,0,0,H
1,0.2727272727272727,0.2,0.1333333333333333,1,0.0,0.0,0.4,0.0,0.8214285714285714,1.0,0.9431847485671048,1,1,0,1,H
