sex,prev_residence_place,cur_eco_activity,marital_status,edu_level,economic_status,country_birth,household_size,citizenship,age,household_position,expert prediction,machine prediction,ground truth,proba_model,occupation,provider
0,1,0.8214285714285714,0.0,0.8,0.1111111111111111,0.0,0.1333333333333333,0.0,0.0909090909090909,0.0,0,0,0,0.8173604486438466,0,H
0,1,0.8571428571428571,1.0,1.0,0.0,0.0,0.2,0.0,0.4545454545454545,0.2,0,1,1,0.7707965119078044,1,M
1,1,0.75,0.3333333333333333,0.4,1.0,0.0,0.0666666666666666,0.0,0.3636363636363636,0.1,0,1,1,0.8939941070006764,1,M
1,2,0.8571428571428571,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.0909090909090909,0.1909090909090909,1,1,1,0.6638352374235729,1,H
0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0909090909090909,0.9090909090909092,0,0,0,0.87799291112061,0,H
0,1,0.8214285714285714,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.4545454545454545,0.9090909090909092,1,1,1,0.7888959208328747,1,H
1,1,0.9642857142857144,0.6666666666666666,1.0,0.0,0.0,0.0666666666666666,0.0,0.6363636363636364,0.2727272727272727,0,1,1,0.6951005021750313,1,M
1,2,0.8571428571428571,0.0,0.2,0.0,0.5,0.0666666666666666,0.5,0.2727272727272727,0.1909090909090909,0,0,1,0.761000766804433,0,H
0,1,0.8571428571428571,1.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.2727272727272727,0.1909090909090909,1,1,1,0.7261624588561917,1,H
0,1,0.0,0.0,0.6,1.0,0.0,0.1333333333333333,0.0,0.5454545454545454,0.0,1,1,1,0.7773219390964156,1,H
0,1,0.7857142857142857,0.6666666666666666,0.2,1.0,0.0,0.0666666666666666,0.0,0.9090909090909092,0.1909090909090909,0,1,1,0.8638215889867157,1,M
0,1,1.0,0.3333333333333333,1.0,0.0,0.0,0.9333333333333332,0.0,0.5454545454545454,0.109090909090909,1,1,0,0.7755119096636247,1,H
1,1,0.8571428571428571,0.0,0.6,0.1111111111111111,0.0,0.0666666666666666,0.0,0.0909090909090909,0.1909090909090909,0,0,1,0.8246804283612744,0,H
0,1,0.7857142857142857,0.3333333333333333,0.6,0.0,0.0,0.0666666666666666,0.5,0.3636363636363636,0.1,1,0,1,0.7891748655762151,0,M
1,1,1.0,0.3333333333333333,0.8,1.0,0.0,0.2,0.0,0.4545454545454545,0.109090909090909,0,1,1,0.7428002441729828,1,M
1,1,0.8571428571428571,1.0,0.0,0.0,1.0,0.9333333333333332,0.0,0.2727272727272727,0.2,0,0,0,0.8332891013478876,0,H
1,1,0.8571428571428571,0.0,0.6,0.0,0.0,0.0666666666666666,0.0,0.5454545454545454,0.2727272727272727,1,0,1,0.8623180603303401,0,H
1,1,0.9642857142857144,0.0,0.4,0.1111111111111111,0.0,0.2,0.0,0.0,0.0,0,0,0,0.9121759860007412,0,H
0,1,1.0,0.0,0.2,0.1111111111111111,0.0,0.1333333333333333,0.0,0.0,0.0,1,0,0,0.8356842793585336,0,M
1,1,0.7142857142857143,0.3333333333333333,0.2,0.0,0.5,0.1333333333333333,0.5,0.0909090909090909,0.109090909090909,0,0,0,0.8108186064064091,0,H
0,1,0.8571428571428571,0.3333333333333333,0.6,0.0,0.5,0.0666666666666666,0.5,0.1818181818181818,0.1,0,0,0,0.8987828129949982,0,H
0,1,0.8571428571428571,0.0,0.2,0.0,0.0,0.0666666666666666,0.0,0.1818181818181818,0.1909090909090909,1,0,1,0.8009112968903286,0,M
1,1,0.75,0.0,0.2,1.0,0.0,0.0666666666666666,0.0,0.4545454545454545,0.1909090909090909,1,1,1,0.895255174430314,1,H
1,2,0.7857142857142857,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.0909090909090909,0.1909090909090909,1,1,1,0.6860931841556336,1,H
0,1,0.3928571428571428,1.0,0.4,0.0,0.0,0.0,0.0,0.8181818181818182,0.9090909090909092,0,0,1,0.8706441456954889,0,H
0,1,0.4642857142857143,0.3333333333333333,0.6,0.0,0.0,1.0,0.0,0.4545454545454545,0.109090909090909,1,0,0,0.8808922715059359,0,M
1,1,0.9285714285714286,0.3333333333333333,0.6,0.0,0.0,0.9333333333333332,0.0,0.5454545454545454,0.109090909090909,1,0,1,0.8791526134956198,0,M
